Cpd,Mass,Avg Mass,RT,Vol,Quality Score,m/z,Show/Hide,Label,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
2037,10628.493,10633.868,12.395,298350,80,707.5589,TRUE,Cpd 2037: 12.395,,707.9583,Negative,-15,-15,12.226,12.543,7402,0.12,0.03,13,1,,472,6,NZ_180830_s31.d,Find by Molecular Feature
2002,10406.5193,10411.7052,12.3,45349,80,2600.6225,TRUE,Cpd 2002: 12.300,,2601.8821,Negative,-4,-4,12.21,12.393,1201,0.091,0,12,1,,466,42,NZ_180830_s31.d,Find by Molecular Feature
1992,10386.6121,10388.8595,12.299,42970,100,2076.314,TRUE,Cpd 1992: 12.299,0.0127,2076.7129,Negative,-5,-6,12.193,12.385,1161,0.083,0,10,2,,466,42,NZ_180830_s31.d,Find by Molecular Feature
2005,10385.5444,10389.2949,12.3,44781,80,2595.3788,TRUE,Cpd 2005: 12.300,,2596.3854,Negative,-4,-4,12.21,12.385,1368,0.09,0,9,1,,466,42,NZ_180830_s31.d,Find by Molecular Feature
2006,10348.4419,10353.4752,12.3,93318,80,2586.1032,TRUE,Cpd 2006: 12.300,,2587.3491,Negative,-4,-4,12.16,12.443,2059,0.134,0.01,10,1,,466,42,NZ_180830_s31.d,Find by Molecular Feature
2020,10328.4487,10332.5118,12.305,349589,80,793.4894,TRUE,Cpd 2020: 12.305,0.0278,793.717,Negative,-6,-13,12.135,12.501,3477,0.147,0.04,38,5,,467,5,NZ_180830_s31.d,Find by Molecular Feature
2014,10327.5575,10332.048,12.302,56076,80,2064.5042,TRUE,Cpd 2014: 12.302,,2065.4851,Negative,-5,-5,12.176,12.401,1737,0.097,0.01,10,1,,466,42,NZ_180830_s31.d,Find by Molecular Feature
1995,10326.4108,10331.9612,12.3,1014045,83.7,687.4196,TRUE,Cpd 1995: 12.300,0.0238,687.8209,Negative,-14,-15,12.018,12.543,9510,0.169,0.11,27,2,,466,42,NZ_180830_s31.d,Find by Molecular Feature
1917,10322.4199,10326.6342,11.605,157706,80,687.1541,TRUE,Cpd 1917: 11.605,,687.2884,Negative,-15,-15,11.41,11.818,4309,0.113,0.02,11,1,,451,10,NZ_180830_s31.d,Find by Molecular Feature
2048,10312.4314,10316.6328,12.671,530270,80,686.4882,TRUE,Cpd 2048: 12.671,0.0248,686.6885,Negative,-10,-15,12.476,12.801,12733,0.129,0.06,18,2,,476,3,NZ_180830_s31.d,Find by Molecular Feature
2047,10311.4691,10316.3994,12.666,306259,80,792.1835,TRUE,Cpd 2047: 12.666,0.0689,792.4881,Negative,-11,-13,12.484,12.834,4291,0.135,0.03,32,3,,476,3,NZ_180830_s31.d,Find by Molecular Feature
2049,10308.4262,10316.272,12.674,349010,80,735.3089,TRUE,Cpd 2049: 12.674,,735.8095,Negative,-14,-14,12.484,12.867,8150,0.135,0.04,17,1,,476,3,NZ_180830_s31.d,Find by Molecular Feature
