Cpd,Mass,Avg Mass,RT,Vol,Quality Score,m/z,Show/Hide,Label,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
572,451.97,452.0576,17.511,20209254,100,450.9628,TRUE,Cpd 572: 17.511,0.0005,450.9628,Negative,-1,-1,17.422,17.897,3359867,0.089,14.56,7,1,S,218,4,NZ_180521_s05.d,Find by Molecular Feature
386,7079.0519,7082.7483,9.695,15887400,100,642.5434,TRUE,Cpd 386: 9.695,0.0126,642.8144,Negative,-4,-14,9.47,9.903,301998,0.091,11.45,137,11,,136,23,NZ_180521_s05.d,Find by Molecular Feature
282,6322.8565,6326.0188,7.741,13695730,100,631.2784,TRUE,Cpd 282: 7.741,0.0068,631.4778,Negative,-4,-13,7.564,7.963,180593,0.089,9.87,114,10,,112,28,NZ_180521_s05.d,Find by Molecular Feature
496,401.9926,402.0539,16.621,13316025,96.2,400.9853,TRUE,Cpd 496: 16.621,,400.9853,Negative,-1,-1,16.19,16.856,570890,0.332,9.6,2,1,,178,3,NZ_180521_s05.d,Find by Molecular Feature
421,403.9885,404.0585,16.155,7812778,94.4,402.9812,TRUE,Cpd 421: 16.155,,402.9812,Negative,-1,-1,15.932,16.389,616442,0.192,5.63,3,1,,147,1,NZ_180521_s05.d,Find by Molecular Feature
576,551.9833,552.0853,17.572,7478460,100,550.9761,TRUE,Cpd 576: 17.572,,550.9761,Negative,-1,-1,17.33,17.863,857267,0.129,5.39,4,1,,221,3,NZ_180521_s05.d,Find by Molecular Feature
402,7102.0183,7105.1528,9.699,2183272,100,644.6306,TRUE,Cpd 402: 9.699,0.0163,644.8121,Negative,-4,-11,9.545,9.928,38767,0.114,1.57,36,3,,136,23,NZ_180521_s05.d,Find by Molecular Feature
573,619.9712,620.0729,17.516,1594868,100,618.964,TRUE,Cpd 573: 17.516,,618.964,Negative,-1,-1,17.355,17.713,233627,0.113,1.15,3,1,,218,4,NZ_180521_s05.d,Find by Molecular Feature
565,467.9848,468.0724,17.453,1518309,100,466.9775,TRUE,Cpd 565: 17.453,,466.9775,Negative,-1,-1,17.339,17.688,250729,0.089,1.09,3,1,,215,3,NZ_180521_s05.d,Find by Molecular Feature
6,357.9834,358.0416,0.581,1453128,51.5,356.9762,TRUE,Cpd 6: 0.581,,356.9762,Negative,-1,-1,0.395,0.819,171211,0.203,1.05,3,1,,2,3,NZ_180521_s05.d,Find by Molecular Feature
479,399.9769,400.0428,16.59,1408364,80,798.9471,TRUE,Cpd 479: 16.590,0.0005,798.9471,Negative,-1,-1,16.464,16.747,82046,0.104,1.01,6,1,,175,7,NZ_180521_s05.d,Find by Molecular Feature
530,415.9911,416.0953,17.064,1266177,100,414.9839,TRUE,Cpd 530: 17.064,0.0014,414.9839,Negative,-1,-1,16.964,17.255,219169,0.086,0.91,7,1,,198,6,NZ_180521_s05.d,Find by Molecular Feature
506,388.1614,388.395,16.739,1263329,100,387.1541,TRUE,Cpd 506: 16.739,,387.1541,Negative,-1,-1,16.539,17.006,112241,0.148,0.91,4,1,,185,1,NZ_180521_s05.d,Find by Molecular Feature
288,6343.864,6347.8636,7.743,1057596,89.3,633.3799,TRUE,Cpd 288: 7.743,0.0194,633.6748,Negative,-5,-12,7.564,7.905,23599,0.1,0.76,30,4,,112,28,NZ_180521_s05.d,Find by Molecular Feature
502,418.0063,418.0869,16.72,1038892,100,416.999,TRUE,Cpd 502: 16.720,,416.999,Negative,-1,-1,16.639,16.889,181194,0.088,0.75,2,1,,183,1,NZ_180521_s05.d,Find by Molecular Feature
545,451.989,452.0717,17.185,885530,100,450.9817,TRUE,Cpd 545: 17.185,,450.9817,Negative,-1,-1,17.056,17.389,87930,0.166,0.64,3,1,,204,2,NZ_180521_s05.d,Find by Molecular Feature
439,501.9857,502.091,16.298,883784,100,500.9784,TRUE,Cpd 439: 16.298,,500.9784,Negative,-1,-1,16.015,16.531,67545,0.208,0.64,3,1,,155,3,NZ_180521_s05.d,Find by Molecular Feature
255,5118.646,5121.0434,7.375,870197,100,638.8231,TRUE,Cpd 255: 7.375,0.006,639.0736,Negative,-3,-10,7.197,7.522,22306,0.086,0.63,55,8,,107,8,NZ_180521_s05.d,Find by Molecular Feature
171,3527.4665,3529.1832,5.821,841460,80,586.9033,TRUE,Cpd 171: 5.821,0.0218,587.0701,Negative,-2,-7,5.707,6.032,25145,0.102,0.61,36,6,,74,4,NZ_180521_s05.d,Find by Molecular Feature
570,635.9658,636.0687,17.509,801163,100,634.9586,TRUE,Cpd 570: 17.509,,634.9586,Negative,-1,-1,17.414,17.68,122468,0.097,0.58,3,1,,218,4,NZ_180521_s05.d,Find by Molecular Feature
397,7115.9866,7121.119,9.698,773069,80,645.9006,TRUE,Cpd 397: 9.698,,646.2639,Negative,-11,-11,9.462,9.92,18445,0.127,0.56,13,1,,136,23,NZ_180521_s05.d,Find by Molecular Feature
116,2242.3037,2243.3718,3.539,756132,100,559.5687,TRUE,Cpd 116: 3.539,0.0015,559.5687,Negative,-2,-5,3.4,3.709,26087,0.103,0.54,20,4,,49,5,NZ_180521_s05.d,Find by Molecular Feature
294,6359.8394,6364.9528,7.744,731723,80,634.9799,TRUE,Cpd 294: 7.744,0.0699,635.3719,Negative,-10,-11,7.555,8.013,10063,0.125,0.53,28,2,,112,28,NZ_180521_s05.d,Find by Molecular Feature
404,7116.996,7121.4106,9.699,703809,89.7,710.6924,TRUE,Cpd 404: 9.699,0.0249,710.9908,Negative,-4,-10,9.554,9.912,8918,0.115,0.51,49,5,,136,23,NZ_180521_s05.d,Find by Molecular Feature
238,4812.6211,4814.8485,7.153,670905,100,600.5704,TRUE,Cpd 238: 7.153,0.0045,600.8196,Negative,-3,-9,7.014,7.355,12342,0.098,0.48,43,7,,102,6,NZ_180521_s05.d,Find by Molecular Feature
229,4507.5779,4509.7129,6.931,636717,100,642.9323,TRUE,Cpd 229: 6.931,0.0108,643.0753,Negative,-3,-8,6.814,7.114,20796,0.086,0.46,37,6,,98,5,NZ_180521_s05.d,Find by Molecular Feature
484,567.9773,568.0925,16.594,613370,100,566.9701,TRUE,Cpd 484: 16.594,,566.9701,Negative,-1,-1,16.456,16.822,74897,0.125,0.44,3,1,,175,7,NZ_180521_s05.d,Find by Molecular Feature
163,3222.4211,3223.9462,5.459,586845,100,643.4768,TRUE,Cpd 163: 5.459,0.0034,643.6778,Negative,-2,-7,5.34,5.574,16776,0.081,0.42,32,6,,71,6,NZ_180521_s05.d,Find by Molecular Feature
197,3856.5113,3858.3225,6.393,545425,100,641.7443,TRUE,Cpd 197: 6.393,0.0058,641.9113,Negative,-2,-8,6.231,6.539,14624,0.088,0.39,37,7,,86,4,NZ_180521_s05.d,Find by Molecular Feature
295,6360.8057,6364.2465,7.744,535292,87.8,705.7488,TRUE,Cpd 295: 7.744,0.012,705.9701,Negative,-4,-12,7.564,7.947,6159,0.107,0.39,60,7,,112,28,NZ_180521_s05.d,Find by Molecular Feature
305,5752.7276,5755.4204,7.86,534975,100,638.1851,TRUE,Cpd 305: 7.860,0.0086,638.4071,Negative,-3,-9,7.688,8.022,10792,0.104,0.39,33,5,,114,3,NZ_180521_s05.d,Find by Molecular Feature
102,1937.2633,1938.1559,3.065,534059,100,483.3084,TRUE,Cpd 102: 3.065,0.001,483.3084,Negative,-2,-5,2.976,3.284,22220,0.101,0.38,17,4,,42,5,NZ_180521_s05.d,Find by Molecular Feature
289,6345.8282,6348.1459,7.743,513810,100,704.0841,TRUE,Cpd 289: 7.743,0.0119,704.3061,Negative,-6,-9,7.622,7.88,12045,0.094,0.37,24,3,,112,28,NZ_180521_s05.d,Find by Molecular Feature
136,2571.3524,2572.589,4.491,512428,100,513.2631,TRUE,Cpd 136: 4.491,0.0022,513.4638,Negative,-2,-6,4.383,4.616,12706,0.094,0.37,24,5,,58,5,NZ_180521_s05.d,Find by Molecular Feature
523,517.9807,518.0736,16.994,491376,100,516.9734,TRUE,Cpd 523: 16.994,,516.9734,Negative,-1,-1,16.839,17.247,63545,0.124,0.35,3,1,,195,2,NZ_180521_s05.d,Find by Molecular Feature
213,4201.5561,4203.5463,6.651,485615,100,699.252,TRUE,Cpd 213: 6.651,0.0042,699.4189,Negative,-3,-7,6.506,6.823,11437,0.084,0.35,32,5,,92,6,NZ_180521_s05.d,Find by Molecular Feature
423,585.9681,586.0689,16.202,479829,100,584.9608,TRUE,Cpd 423: 16.202,,584.9608,Negative,-1,-1,16.098,16.356,68584,0.12,0.35,3,1,,148,2,NZ_180521_s05.d,Find by Molecular Feature
486,583.972,584.1285,16.597,445584,100,582.9647,TRUE,Cpd 486: 16.597,,582.9647,Negative,-1,-1,16.473,16.781,44728,0.141,0.32,3,1,,176,5,NZ_180521_s05.d,Find by Molecular Feature
269,5447.6963,5450.2516,7.73,443763,100,679.9543,TRUE,Cpd 269: 7.730,0.0193,680.2043,Negative,-3,-10,7.597,7.872,11793,0.081,0.32,43,7,,111,5,NZ_180521_s05.d,Find by Molecular Feature
143,2916.399,2917.7498,4.981,442444,100,582.2725,TRUE,Cpd 143: 4.981,0.0019,582.4728,Negative,-2,-6,4.891,5.099,20031,0.086,0.32,23,5,,61,5,NZ_180521_s05.d,Find by Molecular Feature
391,7100.0513,7101.4443,9.696,433936,80,787.8845,TRUE,Cpd 391: 9.696,0.0416,788.3276,Negative,-6,-10,9.562,9.828,6867,0.095,0.31,34,4,,136,23,NZ_180521_s05.d,Find by Molecular Feature
577,383.9819,384.0542,17.572,422951,100,766.9571,TRUE,Cpd 577: 17.572,0.0006,766.9571,Negative,-1,-1,17.43,17.722,27746,0.101,0.3,5,1,,221,3,NZ_180521_s05.d,Find by Molecular Feature
88,1632.223,1633.0145,2.49,404661,100,543.0672,TRUE,Cpd 88: 2.490,0.0015,543.0672,Negative,-1,-4,2.385,2.651,18328,0.109,0.29,15,4,,36,4,NZ_180521_s05.d,Find by Molecular Feature
284,6346.8183,6348.9141,7.742,401434,100,575.9762,TRUE,Cpd 284: 7.742,,576.0672,Negative,-11,-11,7.597,7.913,16905,0.103,0.29,10,1,,112,28,NZ_180521_s05.d,Find by Molecular Feature
529,401.9769,402.0398,17.062,401370,100,400.9696,TRUE,Cpd 529: 17.062,,400.9696,Negative,-1,-1,17.006,17.122,89245,0.064,0.29,2,1,,198,6,NZ_180521_s05.d,Find by Molecular Feature
328,3569.596,3571.3947,8.083,385282,100,712.9121,TRUE,Cpd 328: 8.083,0.0036,713.1122,Negative,-2,-6,7.955,8.205,8591,0.089,0.28,29,5,,121,4,NZ_180521_s05.d,Find by Molecular Feature
322,6097.7792,6100.5603,8.029,381969,99.9,676.5243,TRUE,Cpd 322: 8.029,0.0166,676.7449,Negative,-8,-10,7.905,8.18,10359,0.09,0.28,24,3,,120,6,NZ_180521_s05.d,Find by Molecular Feature
388,7096.1079,7103.7855,9.695,376157,80,590.335,TRUE,Cpd 388: 9.695,,590.9929,Negative,-12,-12,9.545,9.887,9454,0.106,0.27,15,1,,136,23,NZ_180521_s05.d,Find by Molecular Feature
291,6344.8489,6347.9046,7.743,371160,97.5,1585.2065,TRUE,Cpd 291: 7.743,0.0152,1585.9561,Negative,-4,-13,7.589,7.913,7836,0.098,0.27,23,3,,112,28,NZ_180521_s05.d,Find by Molecular Feature
578,429.9871,430.0852,17.573,369496,100,428.9799,TRUE,Cpd 578: 17.573,,428.9799,Negative,-1,-1,17.38,17.763,45383,0.128,0.27,3,1,,221,3,NZ_180521_s05.d,Find by Molecular Feature
191,1978.4135,1979.4235,6.382,360972,100,493.596,TRUE,Cpd 191: 6.382,0.0006,493.596,Negative,-2,-4,6.298,6.523,12473,0.085,0.26,14,3,,85,5,NZ_180521_s05.d,Find by Molecular Feature
415,351.9953,352.1014,15.915,342327,50.4,350.9881,TRUE,Cpd 415: 15.915,,350.9881,Negative,-1,-1,15.665,16.165,18449,0.297,0.25,3,1,,142,1,NZ_180521_s05.d,Find by Molecular Feature
352,4854.7562,4856.8654,8.879,336079,100,692.5292,TRUE,Cpd 352: 8.879,0.0084,692.8152,Negative,-3,-8,8.788,9.012,10844,0.087,0.24,32,6,,128,3,NZ_180521_s05.d,Find by Molecular Feature
429,517.9801,518.0953,16.244,329640,100,516.9728,TRUE,Cpd 429: 16.244,,516.9728,Negative,-1,-1,16.081,16.373,29977,0.152,0.24,3,1,,151,4,NZ_180521_s05.d,Find by Molecular Feature
205,2284.4371,2285.6124,6.523,322833,100,570.1018,TRUE,Cpd 205: 6.523,0.0012,570.1018,Negative,-2,-5,6.406,6.639,10752,0.083,0.23,18,4,,89,5,NZ_180521_s05.d,Find by Molecular Feature
418,471.975,472.0837,16.126,319848,80,470.9677,TRUE,Cpd 418: 16.126,,470.9677,Negative,-1,-1,15.907,16.248,28031,0.17,0.23,3,1,,145,2,NZ_180521_s05.d,Find by Molecular Feature
374,6443.9541,6447.0728,9.504,292394,91.2,714.986,TRUE,Cpd 374: 9.504,0.0329,715.2106,Negative,-9,-10,9.379,9.645,6815,0.1,0.21,16,2,,133,5,NZ_180521_s05.d,Find by Molecular Feature
216,2589.4766,2590.8176,6.736,291557,100,516.8878,TRUE,Cpd 216: 6.736,0.0019,517.0886,Negative,-2,-5,6.639,6.848,9030,0.079,0.21,20,4,,93,6,NZ_180521_s05.d,Find by Molecular Feature
424,699.9601,700.1002,16.225,288013,100,698.9528,TRUE,Cpd 424: 16.225,,698.9528,Negative,-1,-1,16.14,16.473,33670,0.136,0.21,3,1,,149,1,NZ_180521_s05.d,Find by Molecular Feature
347,5159.8026,5162.2624,8.769,284881,100,643.971,TRUE,Cpd 347: 8.769,0.0269,644.0904,Negative,-3,-9,8.646,8.929,6189,0.094,0.21,27,4,,127,6,NZ_180521_s05.d,Find by Molecular Feature
178,4098.5602,4100.4668,5.88,281786,100,682.0859,TRUE,Cpd 178: 5.880,0.0068,682.2532,Negative,-3,-8,5.79,6.065,7590,0.095,0.2,30,6,,77,2,NZ_180521_s05.d,Find by Molecular Feature
317,3874.6356,3876.4969,7.962,274449,100,552.5123,TRUE,Cpd 317: 7.962,0.0051,552.6556,Negative,-2,-7,7.838,8.071,6523,0.087,0.2,27,5,,119,3,NZ_180521_s05.d,Find by Molecular Feature
123,2813.4074,2814.753,3.799,270428,100,561.6741,TRUE,Cpd 123: 3.799,0.0029,561.8741,Negative,-2,-6,3.675,3.983,7672,0.1,0.19,23,5,,51,3,NZ_180521_s05.d,Find by Molecular Feature
250,5687.7728,5690.4064,7.31,264531,100,630.9676,TRUE,Cpd 250: 7.310,0.0096,631.1888,Negative,-3,-9,7.147,7.505,6902,0.087,0.19,29,5,,105,6,NZ_180521_s05.d,Find by Molecular Feature
483,635.9642,636.0935,16.594,262650,100,634.957,TRUE,Cpd 483: 16.594,,634.957,Negative,-1,-1,16.481,16.781,30122,0.127,0.19,3,1,,175,7,NZ_180521_s05.d,Find by Molecular Feature
501,467.9832,469.4358,16.71,259148,75.6,466.9759,TRUE,Cpd 501: 16.710,,468.9715,Negative,-1,-1,16.431,16.847,14832,0.127,0.19,6,1,,182,2,NZ_180521_s05.d,Find by Molecular Feature
588,419.9825,420.054,17.813,249242,50.3,418.9752,TRUE,Cpd 588: 17.813,,418.9752,Negative,-1,-1,17.547,18.088,11876,0.312,0.18,2,1,,230,2,NZ_180521_s05.d,Find by Molecular Feature
574,835.9525,836.0902,17.531,245157,100,834.9452,TRUE,Cpd 574: 17.531,,834.9452,Negative,-1,-1,17.447,17.647,46767,0.075,0.18,3,1,,219,1,NZ_180521_s05.d,Find by Molecular Feature
341,4525.7034,4527.9454,8.413,242815,100,645.5215,TRUE,Cpd 341: 8.413,0.0109,645.6646,Negative,-3,-8,8.296,8.571,6444,0.09,0.17,31,5,,125,4,NZ_180521_s05.d,Find by Molecular Feature
79,1327.1827,1327.8039,1.873,239392,100,441.3872,TRUE,Cpd 79: 1.873,0.0013,441.3872,Negative,-1,-3,1.785,2.002,14777,0.086,0.17,11,3,,29,4,NZ_180521_s05.d,Find by Molecular Feature
262,3240.5467,3242.1283,7.44,238714,100,647.1019,TRUE,Cpd 262: 7.440,0.0025,647.3026,Negative,-2,-6,7.355,7.547,7469,0.079,0.17,25,5,,108,3,NZ_180521_s05.d,Find by Molecular Feature
5,397.9751,398.0532,0.573,232917,58.6,396.9678,TRUE,Cpd 5: 0.573,,396.9678,Negative,-1,-1,0.47,0.636,45008,0.074,0.17,3,1,,1,5,NZ_180521_s05.d,Find by Molecular Feature
416,419.9825,420.0676,16.085,229700,56.3,418.9752,TRUE,Cpd 416: 16.085,,418.9752,Negative,-1,-1,15.907,16.248,16495,0.195,0.17,2,1,,143,1,NZ_180521_s05.d,Find by Molecular Feature
492,513.9693,514.0813,16.608,220741,80,512.9621,TRUE,Cpd 492: 16.608,,512.9621,Negative,-1,-1,16.473,16.781,23102,0.134,0.16,3,1,,177,4,NZ_180521_s05.d,Find by Molecular Feature
413,7107.0361,7110.5146,10.13,217881,99.3,645.0877,TRUE,Cpd 413: 10.130,0.0191,645.359,Negative,-10,-11,9.97,10.261,5498,0.087,0.16,18,2,,141,4,NZ_180521_s05.d,Find by Molecular Feature
236,2895.4995,2896.9017,7.096,215938,100,578.0925,TRUE,Cpd 236: 7.096,0.0026,578.2933,Negative,-2,-6,7.006,7.197,8622,0.077,0.16,23,5,,100,3,NZ_180521_s05.d,Find by Molecular Feature
336,4180.6582,4182.5799,8.181,208097,100,596.2292,TRUE,Cpd 336: 8.181,0.012,596.3725,Negative,-3,-8,8.096,8.28,6734,0.077,0.15,29,6,,124,2,NZ_180521_s05.d,Find by Molecular Feature
285,6187.7898,6190.9026,7.742,202941,98.1,561.5197,TRUE,Cpd 285: 7.742,0.0278,561.6999,Negative,-9,-11,7.63,7.838,4048,0.078,0.15,24,3,,112,28,NZ_180521_s05.d,Find by Molecular Feature
398,7137.0074,7141.582,9.698,196478,77.5,647.8117,TRUE,Cpd 398: 9.698,0.0044,648.2625,Negative,-10,-11,9.537,9.878,2584,0.14,0.14,20,2,,136,23,NZ_180521_s05.d,Find by Molecular Feature
177,4403.6007,4405.5309,5.848,193501,100,628.0778,TRUE,Cpd 177: 5.848,0.0095,628.2208,Negative,-3,-9,5.657,6.015,5104,0.088,0.14,30,6,,76,3,NZ_180521_s05.d,Find by Molecular Feature
94,2484.3561,2485.5273,2.65,190877,100,620.082,TRUE,Cpd 94: 2.650,0.0019,620.082,Negative,-2,-6,2.568,2.759,5016,0.082,0.14,19,5,,37,4,NZ_180521_s05.d,Find by Molecular Feature
331,6402.8163,6405.7011,8.147,186155,80,710.4173,TRUE,Cpd 331: 8.147,0.0292,710.6387,Negative,-9,-10,8.055,8.28,6141,0.089,0.13,14,2,,122,2,NZ_180521_s05.d,Find by Molecular Feature
392,7115.0612,7120.7304,9.696,180839,80,591.9145,TRUE,Cpd 392: 9.696,,592.3247,Negative,-12,-12,9.587,9.87,4371,0.109,0.13,13,1,,136,23,NZ_180521_s05.d,Find by Molecular Feature
571,687.9572,688.0641,17.51,178856,100,686.95,TRUE,Cpd 571: 17.510,,686.95,Negative,-1,-1,17.43,17.747,26065,0.105,0.13,2,1,,218,4,NZ_180521_s05.d,Find by Molecular Feature
125,3118.4483,3119.8256,3.818,176598,100,622.6821,TRUE,Cpd 125: 3.818,0.0052,622.8822,Negative,-2,-7,3.725,3.958,4497,0.095,0.13,24,6,,52,2,NZ_180521_s05.d,Find by Molecular Feature
184,4708.6344,4710.7678,6.131,175360,100,587.5728,TRUE,Cpd 184: 6.131,0.0163,587.8234,Negative,-3,-9,6.048,6.29,4566,0.081,0.13,29,6,,81,2,NZ_180521_s05.d,Find by Molecular Feature
579,567.9771,568.1289,17.586,167946,100,566.9699,TRUE,Cpd 579: 17.586,,566.9699,Negative,-1,-1,17.455,17.713,20201,0.122,0.12,3,1,,222,2,NZ_180521_s05.d,Find by Molecular Feature
153,1344.3224,1345.0228,5.191,163260,100,671.1537,TRUE,Cpd 153: 5.191,0.0011,671.1537,Negative,-1,-3,5.116,5.315,7999,0.083,0.12,11,3,,66,3,NZ_180521_s05.d,Find by Molecular Feature
357,5463.8463,5467.0327,8.886,163036,100,606.0868,TRUE,Cpd 357: 8.886,,606.419,Negative,-9,-9,8.763,9.004,6821,0.092,0.12,8,1,,129,6,NZ_180521_s05.d,Find by Molecular Feature
378,7099.0642,7100.3131,9.69,161121,80,886.3708,TRUE,Cpd 378: 9.690,0.0318,886.8703,Negative,-5,-9,9.604,9.803,4785,0.089,0.12,19,5,,135,5,NZ_180521_s05.d,Find by Molecular Feature
240,4834.5982,4836.9572,7.153,159491,100,689.6502,TRUE,Cpd 240: 7.153,0.0073,689.9337,Negative,-3,-8,7.081,7.289,2734,0.088,0.11,24,4,,102,6,NZ_180521_s05.d,Find by Molecular Feature
132,3424.468,3425.9596,4.425,156607,99.1,569.7371,TRUE,Cpd 132: 4.425,0.0054,569.9048,Negative,-2,-7,4.341,4.574,4612,0.099,0.11,26,6,,56,2,NZ_180521_s05.d,Find by Molecular Feature
383,6943.9798,6947.485,9.694,154841,80,693.3917,TRUE,Cpd 383: 9.694,0.0287,693.6904,Negative,-10,-12,9.604,9.787,3016,0.076,0.11,23,3,,136,23,NZ_180521_s05.d,Find by Molecular Feature
590,617.9736,618.0922,17.869,154421,100,616.9663,TRUE,Cpd 590: 17.869,,616.9663,Negative,-1,-1,17.705,18.08,14297,0.162,0.11,2,1,,231,1,NZ_180521_s05.d,Find by Molecular Feature
150,3769.5099,3771.1575,5.044,153251,100,627.2445,TRUE,Cpd 150: 5.044,0.0046,627.4116,Negative,-2,-7,4.974,5.199,4988,0.088,0.11,25,6,,64,2,NZ_180521_s05.d,Find by Molecular Feature
561,586.0058,586.1777,17.329,151675,100,584.9985,TRUE,Cpd 561: 17.329,,584.9985,Negative,-1,-1,17.214,17.455,17901,0.119,0.11,3,1,,212,4,NZ_180521_s05.d,Find by Molecular Feature
547,465.9678,466.0652,17.21,151372,100,464.9606,TRUE,Cpd 547: 17.210,0.0002,464.9606,Negative,-1,-1,17.114,17.372,12742,0.136,0.11,4,1,,206,5,NZ_180521_s05.d,Find by Molecular Feature
558,388.1608,388.4441,17.31,150274,100,387.1535,TRUE,Cpd 558: 17.310,,387.1535,Negative,-1,-1,17.189,17.489,13266,0.137,0.11,3,1,,211,1,NZ_180521_s05.d,Find by Molecular Feature
538,396.2071,396.4391,17.107,149162,80,395.1999,TRUE,Cpd 538: 17.107,,395.1999,Negative,-1,-1,16.931,17.364,11667,0.173,0.11,3,1,,202,3,NZ_180521_s05.d,Find by Molecular Feature
74,2139.3087,2140.2804,1.79,148525,100,533.8198,TRUE,Cpd 74: 1.790,0.0013,533.8198,Negative,-2,-5,1.719,1.885,5782,0.077,0.11,16,4,,28,3,NZ_180521_s05.d,Find by Molecular Feature
362,5769.8585,5772.6165,9.02,146499,80,640.088,TRUE,Cpd 362: 9.020,0.0064,640.3118,Negative,-3,-10,8.929,9.121,4891,0.086,0.11,19,3,,130,5,NZ_180521_s05.d,Find by Molecular Feature
