Cpd,Mass,RT,Quality Score,m/z,Show/Hide,Label,Avg Mass,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
796,921.913,21.771,60.4,920.9058,TRUE,Cpd 796: 21.771,922.1261,,920.9058,Negative,-1,-1,21.682,21.882,1331,0.145,13244,0.01,2,1,,289,1,NZ_180521_s06.d,Find by Molecular Feature
795,1089,20.839,50.8,1087.9928,TRUE,Cpd 795: 20.839,1089.1046,,1087.9928,Negative,-1,-1,20.7,20.974,2551,0.171,27402,0.02,2,1,,288,1,NZ_180521_s06.d,Find by Molecular Feature
794,1944.6279,20.746,100,971.3066,TRUE,Cpd 794: 20.746,1945.6686,,971.3066,Negative,-2,-2,20.691,20.841,1652,0.081,19281,0.01,4,1,,287,3,NZ_180521_s06.d,Find by Molecular Feature
793,1988.6009,20.743,66.9,993.2932,TRUE,Cpd 793: 20.743,1989.4271,,993.2932,Negative,-2,-2,20.716,20.799,630,0.052,4662,0,3,1,,287,3,NZ_180521_s06.d,Find by Molecular Feature
792,1966.6093,20.743,95.8,982.2974,TRUE,Cpd 792: 20.743,1967.3919,,982.2974,Negative,-2,-2,20.708,20.799,1074,0.059,8665,0.01,3,1,,287,3,NZ_180521_s06.d,Find by Molecular Feature
791,401.8735,18.216,85.2,400.8663,TRUE,Cpd 791: 18.216,401.9383,0.0016,400.8663,Negative,-1,-1,18.043,18.343,7471,0.174,96066,0.07,3,1,,286,1,NZ_180521_s06.d,Find by Molecular Feature
790,419.9823,17.896,53.2,418.975,TRUE,Cpd 790: 17.896,420.0548,,418.975,Negative,-1,-1,17.777,18.068,10632,0.154,87321,0.07,2,1,,285,1,NZ_180521_s06.d,Find by Molecular Feature
789,443.9819,17.881,100,442.9746,TRUE,Cpd 789: 17.881,444.1073,,442.9746,Negative,-1,-1,17.735,18.027,4417,0.153,46142,0.03,2,1,,284,1,NZ_180521_s06.d,Find by Molecular Feature
788,617.9737,17.862,100,616.9664,TRUE,Cpd 788: 17.862,618.0804,,616.9664,Negative,-1,-1,17.702,18.035,16802,0.159,180408,0.14,2,1,,283,3,NZ_180521_s06.d,Find by Molecular Feature
787,633.9684,17.86,80,632.9611,TRUE,Cpd 787: 17.860,634.0869,,632.9611,Negative,-1,-1,17.719,18.002,2401,0.158,22359,0.02,2,1,,283,3,NZ_180521_s06.d,Find by Molecular Feature
