Cpd,Mass,RT,Quality Score,m/z,Show/Hide,Label,Avg Mass,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
2114,1333.5685,18.347,80,665.777,TRUE,Cpd 2114: 18.347,1333.7605,,665.777,Negative,-2,-2,18.252,18.41,1978,0.093,12658,0,2,1,,457,1,NZ_180709_s06.d,Find by Molecular Feature
2113,560.8203,18.343,93.5,559.813,TRUE,Cpd 2113: 18.343,561.0279,,559.813,Negative,-1,-1,18.26,18.469,2035,0.122,16759,0,2,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2112,454.8562,18.342,80,453.8493,TRUE,Cpd 2112: 18.342,454.8562,0.0004,453.8493,Negative,-1,-1,18.252,18.452,979,0.119,20852,0.01,2,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2111,737.7761,18.342,100,367.8808,TRUE,Cpd 2111: 18.342,738.0516,,367.8808,Negative,-2,-2,18.235,18.51,8745,0.14,87597,0.02,3,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2110,441.8654,18.341,100,440.8581,TRUE,Cpd 2110: 18.341,441.9811,,440.8581,Negative,-1,-1,18.219,18.543,23451,0.168,254004,0.07,3,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2109,401.8733,18.339,100,400.8661,TRUE,Cpd 2109: 18.339,401.9729,0.0021,400.8661,Negative,-1,-1,18.219,18.66,50574,0.194,554628,0.15,5,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2108,1161.6323,18.339,99.5,579.8089,TRUE,Cpd 2108: 18.339,1162.0566,,579.8089,Negative,-2,-2,18.26,18.444,2129,0.109,15740,0,3,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2107,547.829,18.339,100,546.8217,TRUE,Cpd 2107: 18.339,548.0235,,546.8217,Negative,-1,-1,18.227,18.527,7766,0.157,75076,0.02,3,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2106,613.8011,18.337,100,612.7939,TRUE,Cpd 2106: 18.337,613.9853,,612.7939,Negative,-1,-1,18.235,18.518,13674,0.148,125992,0.03,3,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2105,507.8371,18.337,80,506.8298,TRUE,Cpd 2105: 18.337,507.9691,0.0015,506.8298,Negative,-1,-1,18.219,18.568,15958,0.169,174501,0.05,5,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2104,825.7299,18.337,100,824.7226,TRUE,Cpd 2104: 18.337,825.9448,0.001,824.7226,Negative,-1,-1,18.235,18.485,11262,0.128,101119,0.03,4,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2103,1479.5255,18.336,80,738.7555,TRUE,Cpd 2103: 18.336,1479.7294,,738.7555,Negative,-2,-2,18.269,18.435,1494,0.103,10807,0,2,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2102,931.6941,18.336,80,930.6868,TRUE,Cpd 2102: 18.336,931.9386,0.0005,930.6868,Negative,-1,-1,18.235,18.494,6689,0.13,58920,0.02,4,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2101,719.7665,18.336,100,718.7592,TRUE,Cpd 2101: 18.336,719.8775,,718.7592,Negative,-1,-1,18.244,18.577,4386,0.172,37778,0.01,2,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2100,1267.5973,18.335,75.1,632.7914,TRUE,Cpd 2100: 18.335,1267.748,,632.7914,Negative,-2,-2,18.269,18.477,2118,0.128,14963,0,2,1,,456,14,NZ_180709_s06.d,Find by Molecular Feature
2099,772.75,18.332,85.3,771.7427,TRUE,Cpd 2099: 18.332,772.988,,771.7427,Negative,-1,-1,18.269,18.477,1298,0.128,9609,0,2,1,,455,2,NZ_180709_s06.d,Find by Molecular Feature
2098,971.6858,18.328,86.8,970.6785,TRUE,Cpd 2098: 18.328,971.8733,,970.6785,Negative,-1,-1,18.26,18.369,1769,0.071,8808,0,2,1,,455,2,NZ_180709_s06.d,Find by Molecular Feature
