Show/Hide,Cpd,File,ID Source,Name,Formula,Saturated,RT,m/z,Mass,Score,Score (Lib),Score (DB),Score (MFG),RT Diff (Tgt),"Diff (Tgt, ppm)","Diff (DB, ppm)","Diff (MFG, ppm)",Polarity,Ions,Height,Area,Vol,Hits (DB),Algorithm,Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt)
TRUE,1,SLZ_200313_10.d,,,,,0.219,1363.9988,1365.0062,,,,,,,,,Negative,6,49278,,1636899,,Find by Molecular Feature,,,,69.3,,,,,
TRUE,2,SLZ_200313_10.d,,,,,0.238,1340.9861,1341.9934,,,,,,,,,Negative,4,66612,,2148130,,Find by Molecular Feature,,,,68.1,,,,,
TRUE,3,SLZ_200313_10.d,,,,,0.262,366.9832,367.9905,,,,,,,,,Negative,3,86549,,2203562,,Find by Molecular Feature,,,,67.5,,,,,
TRUE,4,SLZ_200313_10.d,,,,,0.268,1238.0057,1239.013,,,,,,,,,Negative,3,18448,,694816,,Find by Molecular Feature,,,,55.2,,,,,
TRUE,5,SLZ_200313_10.d,,,,,0.29,1103.9877,1104.995,,,,,,,,,Negative,2,5150,,129074,,Find by Molecular Feature,,,,42,,,,,
TRUE,6,SLZ_200313_10.d,,,,,0.322,440.8586,441.8659,,,,,,,,,Negative,2,12329,,273118,,Find by Molecular Feature,,,,63.4,,,,,
TRUE,7,SLZ_200313_10.d,,,,,0.338,980.0133,981.0205,,,,,,,,,Negative,2,7473,,212173,,Find by Molecular Feature,,,,39.1,,,,,
TRUE,8,SLZ_200313_10.d,,,,,0.569,955.9698,956.9771,,,,,,,,,Negative,3,44099,,553203,,Find by Molecular Feature,,,,45.8,,,,,
TRUE,9,SLZ_200313_10.d,,,,,0.589,999.92,1000.9273,,,,,,,,,Negative,4,8845,,123853,,Find by Molecular Feature,,,,47.8,,,,,
TRUE,10,SLZ_200313_10.d,,,,,0.592,402.8038,403.811,,,,,,,,,Negative,8,40312,,288779,,Find by Molecular Feature,,,,35,,,,,
TRUE,11,SLZ_200313_10.d,,,,,0.612,508.7693,509.7765,,,,,,,,,Negative,2,7545,,39583,,Find by Molecular Feature,,,,31.9,,,,,
TRUE,12,SLZ_200313_10.d,,,,,0.624,366.837,367.8443,,,,,,,,,Negative,2,11066,,94374,,Find by Molecular Feature,,,,51.6,,,,,
TRUE,13,SLZ_200313_10.d,,,,,0.632,965.9992,967.0065,,,,,,,,,Negative,4,97225,,1336310,,Find by Molecular Feature,,,,61.6,,,,,
TRUE,14,SLZ_200313_10.d,,,,,0.643,396.8481,397.8554,,,,,,,,,Negative,3,26638,,154650,,Find by Molecular Feature,,,,47.4,,,,,
TRUE,15,SLZ_200313_10.d,,,,,0.648,422.9109,847.8364,,,,,,,,,Negative,2,16483,,74169,,Find by Molecular Feature,,,,38,,,,,
TRUE,16,SLZ_200313_10.d,,,,,0.649,565.8429,1133.7004,,,,,,,,,Negative,4,16057,,105599,,Find by Molecular Feature,,,,39.7,,,,,
TRUE,17,SLZ_200313_10.d,,,,,0.651,354.9241,355.9314,,,,,,,,,Negative,2,33959,,176338,,Find by Molecular Feature,,,,37.9,,,,,
TRUE,18,SLZ_200313_10.d,,,,,0.652,458.8781,459.8854,,,,,,,,,Negative,7,19873,,208896,,Find by Molecular Feature,,,,35,,,,,
TRUE,19,SLZ_200313_10.d,,,,,0.652,498.8694,499.8767,,,,,,,,,Negative,3,23000,,186107,,Find by Molecular Feature,,,,45.2,,,,,
TRUE,20,SLZ_200313_10.d,,,,,0.661,522.8692,523.8765,,,,,,,,,Negative,2,6175,,52923,,Find by Molecular Feature,,,,38.1,,,,,
TRUE,21,SLZ_200313_10.d,,,,,0.661,430.8816,431.8889,,,,,,,,,Negative,2,24609,,178277,,Find by Molecular Feature,,,,33.7,,,,,
TRUE,22,SLZ_200313_10.d,,,,,0.677,464.8353,465.8426,,,,,,,,,Negative,9,18700,,363211,,Find by Molecular Feature,,,,52.8,,,,,
TRUE,23,SLZ_200313_10.d,,,,,0.682,1019.9495,1020.9568,,,,,,,,,Negative,4,20297,,169503,,Find by Molecular Feature,,,,35,,,,,
TRUE,24,SLZ_200313_10.d,,,,,0.687,395.0245,396.0318,,,,,,,,,Negative,2,4971,,36450,,Find by Molecular Feature,,,,70.7,,,,,
