Cpd,Mass,Avg Mass,RT,Vol,Quality Score,m/z,Show/Hide,Label,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
1340,12657.6764,12660.8343,10.328,44461,80,2530.5275,TRUE,Cpd 1340: 10.328,0.0046,2531.1327,Negative,-5,-6,10.272,10.38,1608,0.058,0.01,14,2,,365,33,NZ_180830_s25.d,Find by Molecular Feature
1335,12635.6897,12638.8715,10.327,47955,80,2526.1329,TRUE,Cpd 1335: 10.327,0.0184,2526.7384,Negative,-5,-7,10.28,10.38,1701,0.057,0.01,14,2,,365,33,NZ_180830_s25.d,Find by Molecular Feature
1560,7418.002,7420.8251,12.221,67473,80,673.3565,TRUE,Cpd 1560: 12.221,,673.6369,Negative,-11,-11,12.054,12.337,2928,0.11,0.01,6,1,,418,2,NZ_180830_s25.d,Find by Molecular Feature
1557,7379.0736,7381.9852,12.176,121595,80,613.9153,TRUE,Cpd 1557: 12.176,0.0035,614.1738,Negative,-11,-12,12.07,12.328,4572,0.106,0.02,14,2,,416,1,NZ_180830_s25.d,Find by Molecular Feature
1574,7146.0019,7147.461,12.631,30265,80,2380.992,TRUE,Cpd 1574: 12.631,0.0248,2381.6575,Negative,-3,-4,12.478,12.745,951,0.129,0,7,2,,424,1,NZ_180830_s25.d,Find by Molecular Feature
1538,7135.9928,7139.4617,12.156,61746,80,2377.657,TRUE,Cpd 1538: 12.156,,2379.3224,Negative,-3,-3,11.962,12.337,2362,0.184,0.01,6,1,,414,30,NZ_180830_s25.d,Find by Molecular Feature
1456,7126.9778,7130.7121,11.161,163881,80,646.9002,TRUE,Cpd 1456: 11.161,0.0104,647.0847,Negative,-10,-11,11.063,11.288,3016,0.099,0.02,18,2,,397,10,NZ_180830_s25.d,Find by Molecular Feature
1564,7125.0276,7127.4893,12.249,128785,80,646.7225,TRUE,Cpd 1564: 12.249,0.0034,646.9035,Negative,-5,-11,11.987,12.428,4203,0.159,0.02,10,2,,420,3,NZ_180830_s25.d,Find by Molecular Feature
1522,7118.0138,7120.3753,12.152,162126,81.2,1778.4966,TRUE,Cpd 1522: 12.152,0.0065,1778.9966,Negative,-4,-5,11.929,12.37,3144,0.185,0.02,12,2,,413,5,NZ_180830_s25.d,Find by Molecular Feature
1527,7117.0054,7120.358,12.154,267137,97.7,2371.3278,TRUE,Cpd 1527: 12.154,,2372.3291,Negative,-3,-3,11.937,12.395,4977,0.195,0.03,10,1,,414,30,NZ_180830_s25.d,Find by Molecular Feature
1459,7111.0244,7114.8062,11.165,235265,85.4,645.4499,TRUE,Cpd 1459: 11.165,0.0148,645.6303,Negative,-3,-11,11.021,11.321,4311,0.098,0.03,35,5,,397,10,NZ_180830_s25.d,Find by Molecular Feature
1556,7111.0014,7115.8706,12.166,605066,80,789.1035,TRUE,Cpd 1556: 12.166,0.011,789.4358,Negative,-6,-9,11.937,12.345,6685,0.152,0.08,42,4,,415,3,NZ_180830_s25.d,Find by Molecular Feature
1553,7110.0529,7115.4696,12.161,3199541,100,645.361,TRUE,Cpd 1553: 12.161,0.0074,645.719,Negative,-10,-12,11.879,12.387,26020,0.171,0.41,43,3,,414,30,NZ_180830_s25.d,Find by Molecular Feature
1561,7105.039,7106.7236,12.238,1025512,83.4,644.9053,TRUE,Cpd 1561: 12.238,0.0108,644.9967,Negative,-5,-11,12.004,12.412,28851,0.157,0.13,16,3,,419,3,NZ_180830_s25.d,Find by Molecular Feature
1563,7104.0362,7105.7483,12.243,564210,83.7,709.3968,TRUE,Cpd 1563: 12.243,0.0124,709.4969,Negative,-5,-13,11.987,12.437,9024,0.172,0.07,25,6,,419,3,NZ_180830_s25.d,Find by Molecular Feature
1566,7103.0309,7104.8971,12.257,140105,80,590.9116,TRUE,Cpd 1566: 12.257,0.0094,590.9966,Negative,-4,-12,12.054,12.412,2297,0.125,0.02,19,4,,420,3,NZ_180830_s25.d,Find by Molecular Feature
1575,7101.0338,7104.5204,12.639,1975883,100,644.542,TRUE,Cpd 1575: 12.639,0.0106,644.8131,Negative,-3,-12,12.387,12.811,19748,0.156,0.25,75,10,,425,2,NZ_180830_s25.d,Find by Molecular Feature
1533,7097.0346,7099.1338,12.155,275438,100,1418.3996,TRUE,Cpd 1533: 12.155,,1418.5999,Negative,-5,-5,11.954,12.378,6334,0.189,0.04,8,1,,414,30,NZ_180830_s25.d,Find by Molecular Feature
1529,7095.0267,7098.5295,12.154,1636953,100,590.2449,TRUE,Cpd 1529: 12.154,0.0072,590.4943,Negative,-3,-14,11.912,12.437,16674,0.162,0.21,38,4,,414,30,NZ_180830_s25.d,Find by Molecular Feature
1552,7094.0464,7098.3091,12.16,1588141,82.1,787.22,TRUE,Cpd 1552: 12.160,0.0036,787.6617,Negative,-7,-9,11.937,12.362,19634,0.137,0.2,29,3,,414,30,NZ_180830_s25.d,Find by Molecular Feature
1554,7093.046,7097.5627,12.162,418043,80,1181.1662,TRUE,Cpd 1554: 12.162,0.0148,1181.9972,Negative,-5,-6,11.929,12.362,6589,0.173,0.05,17,2,,415,3,NZ_180830_s25.d,Find by Molecular Feature
1457,7090.0398,7091.9712,11.162,19924,80,2362.3393,TRUE,Cpd 1457: 11.162,,2363.0024,Negative,-3,-3,11.088,11.246,1037,0.086,0,5,1,,397,10,NZ_180830_s25.d,Find by Molecular Feature
1548,7090.0339,7097.6168,12.159,8043200,82.3,643.5411,TRUE,Cpd 1548: 12.159,0.0099,644.2677,Negative,-10,-13,11.954,12.403,114469,0.131,1.03,43,3,,414,30,NZ_180830_s25.d,Find by Molecular Feature
1550,7089.0459,7089.5077,12.16,85526,81.5,707.8961,TRUE,Cpd 1550: 12.160,0.0352,707.8961,Negative,-9,-10,12.012,12.353,4208,0.149,0.01,5,2,,414,30,NZ_180830_s25.d,Find by Molecular Feature
1454,7089.0309,7092.8377,11.158,2370444,100,643.4501,TRUE,Cpd 1454: 11.158,0.0137,643.7226,Negative,-4,-13,11.013,11.346,37532,0.105,0.3,79,10,,396,7,NZ_180830_s25.d,Find by Molecular Feature
1514,7075.0358,7076.3814,12.007,623319,82.9,706.4963,TRUE,Cpd 1514: 12.007,,706.5961,Negative,-10,-10,11.879,12.037,46218,0.075,0.08,4,1,,410,3,NZ_180830_s25.d,Find by Molecular Feature
1515,7074.0292,7076.0125,12.008,252082,80.1,784.996,TRUE,Cpd 1515: 12.008,,785.2193,Negative,-9,-9,11.804,12.045,14499,0.09,0.03,5,1,,410,3,NZ_180830_s25.d,Find by Molecular Feature
1540,7073.0472,7076.7589,12.156,82887552,100,641.9974,TRUE,Cpd 1540: 12.156,0.0096,642.2684,Negative,-3,-15,11.879,12.437,1464053,0.12,10.6,164,13,S,414,30,NZ_180830_s25.d,Find by Molecular Feature
