Cpd,Mass,Avg Mass,RT,Vol,Quality Score,m/z,Show/Hide,Label,Std Dev,Base Peak,Polarity,Max Z,Min Z,Start,End,Height,Width,Vol %,Ions,Z Count,Saturated,Group,Cpds/Group,File,Algorithm
1512,12481.6514,12484.6421,9.629,45843,90.4,2495.3235,TRUE,Cpd 1512: 9.629,0.0071,2495.9215,Negative,-5,-6,9.575,9.683,1432,0.055,0.01,15,2,,368,35,NZ_180830_s24.d,Find by Molecular Feature
1503,12459.6626,12463.0667,9.627,61325,80,1778.9436,TRUE,Cpd 1503: 9.627,0.0093,1779.5171,Negative,-5,-7,9.575,9.683,1656,0.055,0.01,16,2,,368,35,NZ_180830_s24.d,Find by Molecular Feature
1750,7292.0548,7293.8975,11.662,50743,94.8,661.9068,TRUE,Cpd 1750: 11.662,,661.9942,Negative,-11,-11,11.507,11.773,2994,0.102,0.01,6,1,,417,1,NZ_180830_s24.d,Find by Molecular Feature
1658,7067.9449,7068.8802,10.616,6342,85.8,2354.9743,TRUE,Cpd 1658: 10.616,,2355.3045,Negative,-3,-3,10.566,10.666,708,0.061,0,3,1,,400,6,NZ_180830_s24.d,Find by Molecular Feature
1731,7059.9453,7064.9453,11.627,668264,80,704.9873,TRUE,Cpd 1731: 11.627,,705.383,Negative,-10,-10,11.374,11.873,10430,0.188,0.09,13,1,,414,25,NZ_180830_s24.d,Find by Molecular Feature
1735,7052.9615,7054.9951,11.627,78689,83.3,2349.9799,TRUE,Cpd 1735: 11.627,,2349.9799,Negative,-3,-3,11.39,11.815,2010,0.171,0.01,7,1,,414,25,NZ_180830_s24.d,Find by Molecular Feature
1761,7050.9354,7054.6727,12.102,587798,80,704.087,TRUE,Cpd 1761: 12.102,0.0169,704.3872,Negative,-9,-11,11.865,12.281,7435,0.148,0.08,32,3,,422,3,NZ_180830_s24.d,Find by Molecular Feature
1712,7044.9558,7048.2869,11.62,236393,80,2347.3114,TRUE,Cpd 1712: 11.620,0.0034,2349.6468,Negative,-3,-6,11.424,11.807,1777,0.169,0.03,30,4,,413,1,NZ_180830_s24.d,Find by Molecular Feature
1728,7043.9894,7048.4276,11.626,873641,80,703.3917,TRUE,Cpd 1728: 11.626,0.0302,703.7866,Negative,-7,-10,11.374,11.865,13953,0.153,0.12,25,3,,414,25,NZ_180830_s24.d,Find by Molecular Feature
1747,7042.9991,7043.9473,11.639,453020,80,781.5459,TRUE,Cpd 1747: 11.639,0.0223,782.0967,Negative,-9,-10,11.399,11.84,8168,0.155,0.06,16,2,,416,3,NZ_180830_s24.d,Find by Molecular Feature
1662,7038.9467,7042.6248,10.618,445538,80,702.8871,TRUE,Cpd 1662: 10.618,0.0341,703.087,Negative,-4,-10,10.449,10.774,10485,0.099,0.06,30,4,,400,6,NZ_180830_s24.d,Find by Molecular Feature
1758,7037.9624,7039.3966,11.72,93925,80,702.7887,TRUE,Cpd 1758: 11.720,0.0198,702.8903,Negative,-9,-10,11.565,11.848,3714,0.136,0.01,5,2,,420,2,NZ_180830_s24.d,Find by Molecular Feature
1762,7035.9846,7038.6657,12.109,73556,80,780.7692,TRUE,Cpd 1762: 12.109,0.0055,780.9886,Negative,-3,-9,11.907,12.223,1942,0.121,0.01,14,2,,422,3,NZ_180830_s24.d,Find by Molecular Feature
1725,7029.9724,7032.316,11.626,187603,100,2342.3169,TRUE,Cpd 1725: 11.626,,2342.9854,Negative,-3,-3,11.39,11.873,4189,0.184,0.02,7,1,,414,25,NZ_180830_s24.d,Find by Molecular Feature
1663,7023.9914,7026.0059,10.619,58273,82.1,779.4388,TRUE,Cpd 1663: 10.619,0.0165,779.6551,Negative,-3,-9,10.549,10.708,1241,0.078,0.01,16,3,,400,6,NZ_180830_s24.d,Find by Molecular Feature
1736,7022.9624,7026.9525,11.628,13913092,100,701.2893,TRUE,Cpd 1736: 11.628,0.0084,701.5889,Negative,-3,-14,11.382,11.865,165481,0.137,1.84,132,12,,414,25,NZ_180830_s24.d,Find by Molecular Feature
1659,7018.9784,7025.7661,10.617,126492,80,700.8906,TRUE,Cpd 1659: 10.617,,701.6906,Negative,-10,-10,10.508,10.833,4056,0.101,0.02,13,1,,400,6,NZ_180830_s24.d,Find by Molecular Feature
1760,7012.9976,7016.5273,12.102,1537061,80,700.2922,TRUE,Cpd 1760: 12.102,0.0187,700.5928,Negative,-3,-11,11.84,12.281,19895,0.135,0.2,69,9,,422,3,NZ_180830_s24.d,Find by Molecular Feature
1734,7007.9861,7010.5005,11.627,686985,100,777.6579,TRUE,Cpd 1734: 11.627,0.0095,777.8804,Negative,-9,-14,11.465,11.832,21966,0.106,0.09,12,2,,414,25,NZ_180830_s24.d,Find by Molecular Feature
1719,7006.9954,7010.2425,11.624,360508,85,2334.6573,TRUE,Cpd 1719: 11.624,0.0177,2335.3254,Negative,-3,-13,11.365,11.857,7688,0.157,0.05,17,2,,414,25,NZ_180830_s24.d,Find by Molecular Feature
1740,7006.0285,7009.0593,11.631,420677,80,1400.1999,TRUE,Cpd 1740: 11.631,0.0062,1400.9934,Negative,-4,-12,11.407,11.798,5453,0.133,0.06,23,3,,415,9,NZ_180830_s24.d,Find by Molecular Feature
1743,7005.0194,7010.3409,11.633,271057,80,1166.4959,TRUE,Cpd 1743: 11.633,,1167.3254,Negative,-6,-6,11.382,11.798,6279,0.148,0.04,13,1,,415,9,NZ_180830_s24.d,Find by Molecular Feature
1739,7003.2488,7010.0664,11.63,360908,80,874.3988,TRUE,Cpd 1739: 11.630,,875.2419,Negative,-8,-8,11.499,11.832,11424,0.112,0.05,13,1,,415,9,NZ_180830_s24.d,Find by Molecular Feature
1714,7003.017,7009.9059,11.622,1420460,80,635.6307,TRUE,Cpd 1714: 11.622,0.0121,636.2647,Negative,-7,-11,11.349,11.832,28992,0.118,0.19,26,2,,414,25,NZ_180830_s24.d,Find by Molecular Feature
